	id	sentence1	sentence2	is_duplicate
125285	d98bb367ae115fa89a694a764	What is the average yearly salary of an Operations Coordinator at Uber?	What does the job of an Operations Coordinator at Uber entail?	0.0
154953	f7c369d25ce1fdb2987cbfac2	How important are high school friends later on in life?	How important are high school friends in life?	1.0
382440	c335406ff9090c35add10525c	Which is the best geography book for UPSC?	Which is best book of geography for UPSC?	1.0
364952	6fb872edc80162d8cdbf39ef7	How many Gmail accounts can I create with one phone number?	Can I sign in to my Gmail account with phone number?	0.0
330405	486dd59238ac6fc180b92fa4f	How can I specifically improve my English?	What are some ways to improve English?	1.0
400769	3687b654e94f6c6cc5e5714c5	Why do men love boobs (irrespective of big or small)?	Why men love boobs?	1.0
32384	3a3ad52720728c22c14348e6b	Are donut holes really made from the hole of a donut?	What is a bismarck donut? How does it compare to other donuts?	0.0
55159	c95bccb707f078c1064ce1353	Are there any gymnastics TV shows?	What are the best gymnastics TV shows?	1.0
336891	412138371ddaa691ae22e974a	Why is sales force automation important?	What is sales force automation?	0.0
216568	aa844e71bee7af4013914d3e2	What are the best ways to lose weight?	What are the best ways to lose weight during school time?	0.0
168787	720dcc24b4e4b2a8241828caf	Is D5200 the best choice to shoot films and YouTube videos in 2016?	How do i find period of following functions?	0.0
347814	1ce458a51d05c09a0ef402a13	What are some references to tacos in popular culture?	What are some references to the Arctic in popular culture?	0.0
39386	7e87834d200d1208cad989813	How can I control my emotion and fears?	How do you control your emotions in public?	1.0
299545	4c763e87325bb3e5678f29b6f	What are the best places to visit in india with parents?	What are some of the best places in India to visit with friends?	0.0
60990	e9355c028cebd88ac616481c4	What is genetic drift?	What is genetic drift? What are some of the effects?	1.0
300041	d68f90a2609cb94305ac7b8e1	"""Why do people use TL;DR when """"abstract"""" or """"conclusion"""" already exists?"""	What is the TL;DR version of World War I?	0.0
177235	e1be57aacd5a8c8534d0971be	What are some good April Fool's Day jokes to play on your mom?	What are the best April Fools' day jokes of 2016?	0.0
129041	a80860aeb5882009229aedec2	"""My son plays Minecraft on the computer. The other day he was playing online and someone asked him """"d or t."""" What does this mean?"""	If I purchase Minecraft, does it mean that I have a premium account? Can I play online?	0.0
4830	817f9b65439798f0c75906f24	How can I make people want to be with me?	How do I make other people want to be around me?	1.0
315370	405cb37dbb92684f2a78a4e3a	Have you ever felt intense, deep, pulsating horniness at an inconvenient time?	Can our body absorb systemic enzymes through our skin?	0.0
320250	513f51aa4d91fc6afcef88ca4	Who is the best t-shirt manufacturer in Thailand?	How can I find a t-shirt manufacturer in Thailand?	0.0
201899	da83870f1f676bd79d089d299	What is Hillary Clinton's stance on Russia?	How will Hillary Clinton deal with russia?	1.0
205560	2b02cbf5f50afe47b24b1067f	How much time does it take to ship something First Class with USPS?	How much does a USPS tube for a poster cost?	0.0
90955	a1a6e8998ddea77d78c43c5a0	What's your biggest regret?	What is your biggest regret from when you were a kid?	0.0
142761	2d583fc0100c5352f0bce3ac0	Do Aghoris really have sex with dead bodies?	Can we bring life into a dead body?	0.0
333131	000b7582b4f2b8cc502d1e0ec	Why are you addicted to Quora?	Are you addicted to Quora?	0.0
214325	0b210d04eb3ebea3f35ea45eb	Why do people say Hillary Clinton is a crook?	Why do people think Hillary Clinton is corrupt?	1.0
196682	c3279a26a87502ca5a7ef4680	What phone should I buy under Rs 15000?	Which mobile I should buy under 15k?	1.0
26396	87a28a0481a3d78eca078452f	How is Newton's method used in the Engineering field in real life?	What is the use of limits in real life?	0.0
180235	cc64c690cf2b212480a5bf845	How can I improve my English reading comprehension?	How do I improve my reading comprehension in English more efficiently?	1.0
193639	e9edbddfc9f5dce57bbc09922	How does the sun always burn?	Will the sun ever burn out?	0.0
365711	ef3485e084c3e4785cb6b52d2	Can I work as an inhouse consultant with a TN Visa?	I am working with TN government as an AE and would like to prepare for the UPSC exam. Since I am a probationer I am eligible only for leave on loss of pay. Can I avail leave on loss of pay stating original reason (but I heard if I say the true reason collector will not grant leave)?	0.0
363664	770c3650df660382e12054642	What is the silliest question you have ever read on Quora?	What is the silliest question ever asked?	1.0
80442	fde8f4a1e1202477e22c844f4	What are the main functions of nerve cells?	What is the nerve cell? What are the main functions?	1.0
324726	d28fed39893ee0acae7b6444a	What are some good ways to clean ears?	What is the best way to clean ears?	1.0
267775	0224538191f3975fe24146c9c	Why do Slavs squat?	Is it impressive to squat 135kg/300lb?	0.0
253077	e3c561151e8adbb66e096b65f	What if India and Pakistan went on war today?	What would happen if war were declared between India and Pakistan?	1.0
365074	6bb4302878a7ec1323b6fcd37	What is the definition of virginity and losing your virginity for both males and females?	When and how did you lose your virginity?	0.0
366402	40f263db79084bcb62bc3e83c	How can we measure the height of mountain?	How do they measure the height of a mountain?	1.0
373424	4b40d350816ffecea919b8245	Should students be forced to take AP classes?	Why are students forced to take humanities classes?	0.0
2414	3474491cbcd5ca3974c3c3df8	In the GST bill, what is the meaning of SGST, IGST and CGST when there should be just one kind of tax to be levied?	Will Flipkart return to kerala (with cash on delivery) once the GST bill passed? (just because there won't be any separate sale tax for goods.)	0.0
213761	07c604dcd51c30baf2dd76c00	Are the Pew Research Center's surveys a reliable source?	What is it like to work at the Pew Research Center?	0.0
159126	9c4102ae53555ca3ce2c34c59	Is it true that B positive blood people should not eat groundnuts?	People always say it's useless to eat breakfast after 9 am. Is it true?	0.0
63646	c76b5d5850cd96eaca36b991e	Star Wars (creative franchise): Who would win in a duel: Mace Windu vs Yoda?	Star Wars (creative franchise): Why can't the Jedi detect that Palpatine is a Sith Lord? 	0.0
47088	12c353dec0aa689a835627537	What are the career options after electrical engineering excluding joining the MNCs?	What are career options after B.tech in Electrical engineering?	1.0
133160	48081c5ce42a4b84a0cc10024	"""What are some examples of sentences using the word """"creditable""""?"""	"""What are examples of sentences using the word """"perception""""?"""	0.0
30272	a1cc4d3aee5fbe61ab1cc728d	What is the scope of hospital management in india?	What is the scope of studying hospital management?	0.0
236607	866f9b143b999b9f17571af4c	Why are my lips dry?	How can I make my lips not dry?	1.0
14780	e496dc5ea4b826401fc2cc416	"""Michael Jackson's """"Bad"""" and Prince's """"Purple Rain"""" both sound extremely artificial in terms of sound. How did this not turn listeners off at the time?"""	Why does sound need a medium like air or water in order to travel, but radio waves do not?	0.0
338274	f0b95ecfa4ec59e2f656bb910	Why is Karna so popular among Indian youth when a serious reading of Mahabharata proves him a villain?	Mahabharata (Hindu epic): Why is Karna so overrated?	0.0
226617	0285ffb14df7b16c8b134146e	Who are some people from the Scheduled Caste/Tribe (SC/ST) who can be role models for today's SC/ST youth?	What is Atrocity act for SC/St?	0.0
192466	3246e741b0c5957cee4dae327	The present day Republican parties descended from the democratic party?	Coffee bloom movie?	0.0
94738	03520deeb8e024d254556a288	What type of books should a programmer read for vast knowledge?	Which is the best book to learn programming for beginners and why?	0.0
289750	8cd0d63d2cc6d8fc19fa2799e	What are the disadvantages of the Nokia Lumia 625?	What are the disadvantages of the Nokia Lumia 510?	0.0
391474	ce4804e056d6a240ac0e88233	Can I learn martial arts on my own?	How can I learn martial arts at home through internet?	1.0
69326	e7269a7eb3b1318e4c1ef278c	Why no one in this world is happy?	Who is happy in this world?	0.0
224410	15fb4457292ff13bb1cd8a825	What is the average insurance cost for a 150cc scooter?	What is the average cost of auto insurance?	0.0
365626	a37ee04a3b2ff86661b61eea5	How do I sell my kidney and how much can I get for it? Is it legal?	How much would a kidney go for in the US if there were a free market?	0.0
300859	cf011761769545ed19f30bb95	How should I plan a trip of few days to Goa?	Can you suggest how to plan Goa trip for 4 days?	1.0
398209	ca44d6041dd6d6369d37cdfa6	What is the scope of mechanical engineering around world?	What is the scope of Mechanical Engineering?	1.0
208033	9d567c2c7d2473905e01fa03f	What are your resolutions for 2017? And why?	What would be your New Year resolutions for 2017?	1.0
182610	eb940d4b2561fae0cc17628fd	What are 3–5 life lessons you learned in your 40s you wish you knew in your 30s?	What are 3–5 life lessons you learned in your 50s you wish you knew in your 40s?	0.0
139531	8aceb320c45c786cf64883bc6	How can you attract someone?	How can I not get attracted to someone?	0.0
79267	65bba16b21a2703968e96c5fc	What is the mystery behind Roopkund?	India: What is the mystery behind the Roopkund Lake?	1.0
94510	1c2cf59445eacb42a70373fe7	How will people survive and pay bills in the future when automation replaces all or most jobs?	How will people buy things when automation takes all jobs?	1.0
62811	e648a24cad87fc767c68b262a	What is best way to start learning programming?	What is the best way to start learning programming concepts and skills?	1.0
179448	0a03bd8f2e860eb3974867980	What was the universe before Big Bang?	Before the Big Bang was it in complete darkness?	1.0
261093	4186abd2ac68398b94dc4ce10	What does it feel like to masturbate in a zero gravity environment?	How does fire burn in zero gravity?	0.0
194362	540823083daf70a89cc7f1376	How can I stop eating junk and processed food addiction and stay healthy?	How do I stop my cravings for junk food?	1.0
120341	3154f66116b2bca212cac8295	What is the technology behind the green pulsing light on the Fitbit wrist band?	Why do so many golfers wear rubber wrist bands? What is the purpose?	0.0
181772	2b903a35265ca7e060d7ed337	What is your honest opinion on feminism?	What is your opinion on feminism? I am a feminist who believes in gender equality.	1.0
402658	079cc0ea865d1701bd5fdf0b7	What's the creepiest/scariest teacher experience you've had?	What was your creepiest train experience?	0.0
221466	f4c0e915516f287c9f40398d5	What are the best street foods in delhi?	What are the best street food in Delhi?	1.0
40666	7233c7218ff907f87291890c9	Do you find any logic in Dr Zakir Naik's debates?	Why is it that no religious scholar has been able to defeat Dr. Zakir Naik?	0.0
371341	0db04593ad38761143c034bf7	Is sex more pleasurable for men or for women?	Who enjoys sex more, men or women and why?	1.0
352384	92b99ffa812cd2d9457c02546	What hotel in Chamba Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	What hotel in Jammu Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	0.0
300008	159e2e746b5e6d0064f90cc3e	Should I finish playing Skyrim vanilla first before playing with mods installed?	What are the best Skyrim treasure hunt mods?	0.0
208852	a1366116d4d8060acaa4feccf	Is it a requirement for presidential candidates to hold press conferences?	What action would be required for either of the two major Presidential candidates to be legally disqualified for the presidential race at this point?	0.0
224294	de4738135010c53f060a7646a	Working on a self-funded startup. How can I attract investors and others that will take the site (circlehubb) to the next level?	I am a 22-year-old guy, and I am working for a prestigious company. I am planning to do MS(CS) in the US next year, or after 2 years but the thing is I don't have the money to do that and my pay is only 6 LPA. Can anyone tell me a how I can fund my study abroad?	0.0
197316	c22edf3e38632edbed0a2cea5	What are the safety precautions on handling shotguns proposed by the NRA in South Carolina?	What are the safety precautions on handling shotguns proposed by the NRA in Rhode Island?	1.0
241674	8cbb5919e64f819732d3f917c	Wifi cracker?	With GRE score of 311 (Q160,V151,AWA3.5) and GPA of 3.29 (85.8%), Which Uni.'s can I consider to apply for MS in Material Science & Engineering?	0.0
168980	085de2279fae0f1bfb2265866	What is the most powerful flash light?	How Apache Sqoop can be used to read changes from RDBMS (like Oracle) if there is no timestamp column? What if there is just an incremental ID field?	0.0
259629	2085cd5045f3222b0f27a9e70	How do we make friends?	How can one make friends in class?	0.0
253797	8414e0efe353c0c2da31b68b7	Why do you study physics?	Why did you study physics?	1.0
136460	46b273056c39530015c2f8312	Which is the best Sankara Nethralaya or Dr.Agarwal or Vasan eye care for LASIK eye surgery in Chennai?	One of my eyes has a poor vision of -5.2. Is it OK if I get a LASIK eye surgery to clear the medical test of ONGC?	0.0
191968	1de1f653ad61f88a5466730bf	Are police officers ever afraid of a suspect trying to get revenge on them?	What are the ways boys choose to get revenge on their fiancee who screwed them badly?	0.0
259740	100e33b31e99592e9e2a52249	"""What exactly did Einstein mean by """"Everything should be made as simple as possible, but not simpler""""?"""	What is the meaning of life?	0.0
255836	9aca66b5f95ef932e6ba4f491	What are the views of the young generation on feminism in India?	A solid sphere, a hollow sphere, a solid cylinder, and a hollow cylinder are released from the top of an inclined plane. Which object arrives first?	0.0
115026	82c22372c9e505824d5f2c718	How can I stop myself from being affected by what other people think about me?	When will I stop thinking about what other people think?	1.0
51337	60d6466cbd7e81e928f9f687d	How often should I wash my hair?	How often should you wash your hair, and why?	1.0
374054	156deafadaad172cf022c8bcc	Can I study for the engineering math 1 exam in one night in Pune University?	What do Syrian people think about Russian involvement in Syria?	0.0
172314	ac5fa851f4db155a8057f2e5a	What are the requirements needed to become a naval air force pilot in the United States Navy and how does this compare to Brazil's Navy?	What are the requirements needed to become a naval air force pilot in the United States Navy and how does this compare to Russia's Navy?	0.0
165402	b97a75cad22d5e99a4c45383a	What are the best ways to treat anxiety and panic attacks?	How do I treat anxiety and panic?	1.0
139835	6a5652d01b6031ae794b1881a	How can I increase my height I am 5'2 and 13 years old?	How can I increase my height after 18 years of age?	1.0
391975	ebfc16960deff57ffaaa2f917	How can I avoid getting lumps underneath my jaw line?	What could cause lumps under my jaw line?	0.0
242931	b7f701860efcd40b3a542cb57	She flirts with me but says she only likes me as a friend. What should I do?	I thought she loved me. Now she says she only considered me as a friend. Was I wrong? What should I do next?	0.0
124372	6ce092f96c2cfeb44e567f8df	What are the pros and cons of committing suicide when you realize after ten years that there is no cure for your anxiety/depression?	What are the consequences of suicide?	0.0
364073	9805bf927c8a5c3f1fca81056	What will be the expansion of (x+1) ^(1/x)?	What is the expansion for 1/e?	0.0
67408	d784c1f8d68a70900bda1852b	Can Indians work for NASA?	What percentage of NASA employees are Indian?	0.0
65013	a059c588588a877d4092b0acb	Which exam center is better if you are taking IELTS from India: British Council or IDP?	Is their any difference between in British Council and IDP in general And also any affect of semi-urban area or urban area to take a Ielts exam?	0.0
187528	0b558d1f2d70713652d291df0	How do people still think the Earth is flat even though it's proven wrong?	Why are so many people obsessed with the flat Earth theory?	1.0
228771	d173266fcdca7b9b5c2eeb6f9	Why can't India produce a Hollywood like sci-fi movie?	Why is Bollywood (Hindi cinema) stuck on the romantic genre? Why aren't there big sci-fi movies? Is it because of money problems or lack of ideas?	0.0
322474	a93f5a9096f01c716a6b6bf7a	Would you ever get bored of Quora?	Does anyone ever get bored from Quora?	0.0
51443	036b2271b830bf733322a3e62	Who has the best military?	Who has the best military in the world?	1.0
317383	7e69e92f967aff59cad7640a4	What are the applications of binary search trees?	What are the applications of a binary search?	0.0
176125	edefa810271645293c8c5087d	How do I stop my American Staffy/Kelpie mix from humping my furniture?	How do you stop your Boxer/Pitbull mix from humping your furniture?	1.0
72093	c5430b03a840d115520895191	How do I backup my PC software to .exe file?	How can I decompile a .dll file or an .exe file?	0.0
362779	f22ba182713603330b876e5f2	Why did she stop texting me?	Why has she stopped texting me first?	0.0
383575	6aca90eae89a7d5676c9c32fd	What does a blind person see in their dreams?	Do people who are blind from birth have dreams?	1.0
379400	da057baa441c467e0d5c3c900	What does Quora mean?	What is the Quora means?	1.0
259123	962cc0e5a7acc0a2b43919cac	How should I prepare for skill test of stenographer ssc?	I cleared SSC steno written exam Grade D.Can you please tell when will be the skill test and how long will it take to learn shorthand?	0.0
398246	c3c44064df1a42b9e57e091d2	What is the difference between a jail and a penitentiary?	What is the difference between prison and jail?	0.0
27808	a55f672999d3c97ad6146377d	Who makes up the executive management team at Facebook?	How did Facebook acquire an amazing management team from where it started?	0.0
99731	fb7119e6c219d87d9fc7e28ea	If England invaded Republic of Ireland today what would happen worldwide?	What would happen if the UK invaded Ireland?	1.0
130181	2f757aa163a3c93df43f3f8e0	Websites like dream11?	Can I connect anycast to Bluetooth headset?	0.0
86708	9f8ec0ce7f57528afdc89d038	How can I build more self confidence and self esteem?	What are some good ways to build confidence and self esteem?	0.0
113401	c5d849b0dd7b5051fea0cf9d8	Does shaving make facial hair grow faster?	Why do some schools force teenagers to shave facial hair?	0.0
251565	bbcb95355b49f281951d2f94e	How do I revise for my theory test?	How do you  Revise the Theory Test?	1.0
274888	f9b2c3836ded53a47505afbdb	How big is the A380?	Is the A380 bigger than the An225?	0.0
388355	83218dbc7a4d6d14151fac1f3	"""What's the best response to """"You are (must be) really smart""""?"""	Is my brother really smart?	0.0
289237	87fe41e8f7f90b092e3041d4b	How do I burn a video to a DVD?	How can I burn a YouTube video to a DVD?	0.0
183638	a7f12b171376472d74b54109b	What makes gold very valuable?	Since gold was discovered in ancient times why is it rare and valuable?	1.0
107152	a7f6b97afb79dff8f2925cb70	How can I pass a saliva drug test for crystal meth?	How can I pass a drug screen for crystal meth?	1.0
91222	57939169f4bbfa06cde1a56a9	What is it like to be an engineer?	What is it like to be a mechanical engineer?	0.0
224252	561d9fe12fb0725369f5a924e	How do you fight seasonal affection disorder?	How do I overcome seasonal affective disorder?	0.0
386951	8cd766045c8a8cc9c94d0aa32	What should I do after btech in ECE?	What should I do after my btech ece?	1.0
138932	66604ec390fe44324e4dbe985	What does it feel like as a middle age man living in an elderly nursing home recuperating from an illness?	What does it feel like to live in a nursing home?	0.0
375292	c1677d5e991fa697af63f27de	Where can I buy gallium phosphide semiconductors in India?	Where can I buy gallium-phosphide semiconductor in Mumbai or online?	0.0
167218	0d5cf8a453556ed79d1297a7c	What are some topics on Quora that one should unfollow?	What are some interesting topics for new users to follow?	0.0
83604	31c9e9be1bbeab1d7530b8799	What is the prerequisite for learning SAP BPC?	What is the future of a person working in Accenture on SAP BPC project?	0.0
309917	7f5259d86df1295e3ac66e4f3	How do I cut back on how much time I waste on the internet?	How do I stop wasting my time on the internet?	1.0
230159	01a1b01ebedf2aa34ee8ee66f	What are some interesting examples of movie mistakes in Bollywood?	What are some interesting examples movie mistakes in popular Bollywood movies?	1.0
394441	70cccce64cfa0b431532efbf1	What are the chances of my admission in chalmers or KTH for ms in Automotive. My cgpa is 7.6 and currently I am working in an automotive OEM?	I have 6 years of experience in vehicle quality in an automotive OEM in India . I want to work abroad. Which countries offer good job opportunities?	0.0
6012	b896662b465b4bdaef1283e8f	National Anthems: Do anyone know from which novel Jana Gana Mana is taken?	What does Jana Gana Mana mean? What are the lyrics to the song and why are they significant?	0.0
175736	821e836da5006726c798dd97e	How can I make money from YouTube?	How do I make money through YouTube?	1.0
313374	d04e4c954ce47e03ef78e6eeb	How do I make a strawberry milkshake?	How do you make a milkshake?	0.0
144725	f8283e80cabdcfc1aea214ed2	What are some verbs that begin with W?	What are some verbs that begin with x?	0.0
100724	f90c503fc42eaedc801f39f0f	Where can I get an html editor with live preview? (brackets doesn't works)	"""What is the best text-editor for HTML/CSS that has """"live-preview""""?"""	0.0
202766	f867c95435700849200f7434e	What is the average number of apps used by small businesses today?	What is the average duration of a business phone call, for small businesses?	0.0
213584	82313ccc2e3cb171d58c11520	How should I prepare for IBPS 2016?	How do I prepare IBPS SO exam 2016?	1.0
300458	76d296dfa0d35b23fc64799ac	How do I find a job which is challenging but not too challenging?	What do you mean by notch sensitivity during measurement of toughness?	0.0
258714	82daafe0dc7b4ce744a1e3e29	How did you find friends online?	How can I find friends online?	1.0
357418	5b8219dc937543b5f2f03b7b6	What is it like to have a gang bang?	What is it to be gang banged?	1.0
200640	53a98f9bbb83cba0d40fa01ca	What are the best books to prepare for NTSE?	How should I prepare for ntse?	1.0
137054	8be9b3c40c4cba82446e0f64c	BSNL: Is BSNL a PSU?	What is BSNL?	0.0
231108	be15f4d89746ea8df5f91a83a	I want to learn music production, where do I get started?	Where can I learn HTML?	0.0
210837	7665d7737a1a30cb67012a5fe	How can I change an Instagram upload date?	How do I upload more than 700 photos into Instagram?	0.0
50766	6c90b8786cdf9ebdca290d791	How can I develop apps on android?	How do I create an application for Android?	1.0
286390	1a8f95f9e10acec48fcc714e5	What's the best movie I can watch after Interstellar and Inception?	What would've happened if the Interstellar voyage was made in the movie Inception?	0.0
274719	8fb5fc4016b029f1b19371675	Which one is the best car to buy, under 10 lakh, in 2016?	Which is the car with best pickup In Indian Hatchbacks below the price of 10 lakhs?	0.0
918	5c4a21ea34d2b82b394c4f67e	I'm 18. What should I do?	What can I do when I'm 18?	1.0
254902	8acda1a5db9ff20db6b9fde80	Is there any proven method to increase 13 year old girl's height after hitting puberty?	How do I increase my height after 22?	1.0
122965	d707d0efe3a0150a53934fe86	Why is collective guilt wrong?	How do I cope with guilt from using a woman?	0.0
81864	81fa73b8217bd1dee3619b1f6	Define melting point and boiling point? What is the difference?	Why do the isomers have different melting points?	0.0
122157	dde54cbda78786dca900e803c	How can I unblock someone on Facebook messenger?	If someone blocks me on Facebook then unblocks me, will their comments on my posts reappear?	0.0
41349	5af4a2a02aaf77be52720e849	How Indian economy got affected after ban of 500 1000 notes?	How will ban on 500 and 1000 rupees note affect economy of India in different sectors?	1.0
188198	13947834b8d56458642f18005	Why is law sometimes at odds with justice?	How is law and justice administered in times of war?	0.0
13434	6ed139c41c63fe10e5439a2c2	What are some events that can be held at a college level fest (Technical or Cultural or Annual)?	What are some event ideas for a college fest?	0.0
36461	218d3fb02cfd38d4f669a79bb	What is your new year resolution?	What will be your new year resolution for 2017 and your plan of execution?	1.0
388830	ef80934dd7c25c320c15bbfeb	What are the reasons to study civil engineering?	What is the way to study civil engineering?	0.0
327790	f21394770eb34a24023751d45	What should I endorse you for on Quora?	What is endorsements?	0.0
309824	fa5d4001d5a9b06df98d56f7e	What are the components of fitness?	What are the seven components of fitness?	1.0
191885	6ae4cf0ea2f8c8f86dfb1d3cc	If electric eel creates DC which is less dangerous than AC then how it can harm us?	If electric eel creates DC then how they can harm us?	1.0
20072	2c752f08c010166bbde9a64db	"""Will a """"gold rush"""" ever happen again?"""	Will a world war ever happen again?	0.0
125115	9f2e6d0241bbc15e73cebec9c	How can I root Android 5.0 Lollipop?	How do I root android 5.1.1 lollipop without pc?	0.0
293359	3a909c1b2a1d76dd70d045f4c	How can I buy paysafecard online with PayPal?	Do you need a bank account or a cc to buy online items with PayPal?	0.0
296818	1d8299402140873c5482d886f	How do I become a quant in a year?	Would prospective employers hire you to code a proprietary product you have developed before?	0.0
218687	b4e1588c3e1a1e23b4342934c	Is there a bell-curve distribution of intelligence in elite universities?	Does human intelligence really follow a normal distribution?	0.0
87886	c1e43faca335acc13c8b39a12	How can I make money online without paying anything?	Which site is better for making money online?	0.0
164640	6019c5400fbde198000db2c7f	How should Californians vote on 2016's Proposition 62?	How should Californians vote on 2016's Proposition 58?	0.0
316574	2229f2ed973743b796e8545fc	Why do shoes continue to smell after they are not worn?	Why do shoe pads turn brown after wearing the shoes for a while?	0.0
13473	78a889ab28970dbd7347ce56e	What is prison psychology?	What is prison like?	0.0
318492	d262d6160a00a2492e17df487	How do you create an API ready application using CodeIgniter?	Does using a framework such as Codeigniter cause a decrease in application performance?	0.0
202761	22c0d9af39ed17abc3f3779ca	Why the earth rotates on its axis?	Why does the earth spin about its axis?	1.0
140198	9ecb71f332e25f7033aa5f1bb	Which interesting ideas did you come up with for the 3 essay questions from the St Gallen symposium 2015?	How can I come up with YouTube video ideas?	0.0
135409	9e685d202eb3c9ce990f0517e	What are some publicly listed solar companies in India?	I would like to invest in Solar Energy. What are some good public companies that I could invest in?	0.0
249230	0cbec9d2eb537aeb7625eb3fe	Which will be the best budget laptop under 30k?	Which is the best laptop to buy under 30k in India?	1.0
150509	a56c0f56cb5ed4dfc3f00ab64	What will be the specific heat for an isothermal process and adiabatic process and why?	What is the numerical value of the specific heat of a gas in the isothermal process and the adiabatic process? Give a reason for your answer.	1.0
6769	24c0319d67eb6b1e506dafead	What are some neurogaming startups?	What are startups?	0.0
78016	17926aef00a551d79e702a87a	Why did you become a veterinarian?	How do I become a veterinarian?	0.0
382404	fd7ae791f8a0f51cd0c310a96	How do we cure racism?	What is the cure for racism?	1.0
246702	8d6e76bb01a4398b9c9e7a6f0	What do girls wish that guys knew?	What do women wish men knew?	1.0
60745	9941a20176f08c97ea92274c5	How can I increase my vocabulary?	How can one increase vocabulary?	1.0
291069	b2ef32d0827c316a0eb5c0e1b	Which are some of the most underrated hollywood movies?	What are some of the most underrated movies?	0.0
399650	dc5186c3af99b6a8953da0c22	How can I self-teach copywriting?	How do I learn copywriting?	0.0
170126	cbdbfa8cd4a35b7c13f42d8cf	Is appjasmine.com legit?	Is trackimei.com legit?	0.0
170103	5cb20dcf8487e01bdac3c4efd	What are the best ways to improve my English because I'm not good in English?	What are the best ways to improve English?	1.0
362226	226d751f59c0d2d54a35889ef	Where are the original Hindu vedic text kept?	Where are the original vedas kept?	0.0
320897	061d72fa4277441885ce9050d	What are the major reasons for the prevalance of child labour in various parts of the world?	What are the main reasons for the prevalance of child labour in various parts of world?	1.0
139290	3c807d9aa0c0745bccd02f020	What do you think about Juan Manuel Santons getting the peace Nobel prize?	What do Colombians think about Juan Manuel Santos being awarded the Nobel Peace Prize, 2016?	1.0
391369	229aa672a710fe491fe2e9c4c	Why is the output of the following code coming as -5?	Why is the output of the following code 96?	0.0
109088	701a0172683ac2e774ecf4eb1	Where can I find Hindi dubbed audio files for English movies?	What are some of the best Hindi dubbed South Indian movies?	0.0
107756	e38ca3ca1e27297a014b356e5	How can I stop being so desperate to have a girlfriend?	How can I stop being so desperate to have a girlfriend in India?	1.0
270898	e1f57ab2e2eaafd3e17ce9cd5	Do animals commit suicide?	Do the animals suicide?	1.0
119736	62d1d566a58f3d56d6c7803cd	Are we heading towards another civil war?	Is the USA heading towards civil war?	1.0
135956	a572916d83ebd1d970f29b37b	Is there any other way other than going for military option to punish those behind the Uri Terror attack?	How India can respond to the Uri terror attack?	1.0
38602	b45879117bc7fdfdd95bc146b	Why are people wasteful?	Why do some people waste their lives?	0.0
140152	8a49c138672c14dee68fdf573	How do I learn Linux kernel development?	What is kernel development? And how to be pro in it?	1.0
368758	51a302a63625cc8bc1d8df6e5	Where is the cheapest place to buy vitamin B-12 near or on University of Washington campus?	Where is the cheapest place to buy vitamin D near or on University of Washington campus?	0.0
172736	b20a3dac17aa8dadcabbd21c8	What is the difference between a mocktail and a cocktail?	What is the difference between a cocktail and a mocktail?	1.0
379511	0870e260e7c79669442ac63fa	When in December will Apple's LG monitor be available?	When will the new Apple TV be announced?	0.0
377830	66344b121936942f3a58b7869	Is it possible for one to run out of questions to answer on Quora?	Is there any possibility that we will run out of questions because everything is already answered on Quora?	1.0
167428	a6df3e3e2292247d71031e678	How can one earn money on Quora?	Has anyone found a way to make money using Quora?	1.0
208121	209d2bcf87084f0f262c395f8	How do I disable history deletion in Google Chrome?	"""What does Google Chrome store under """"History-Journal""""?"""	0.0
18579	d976f89cbc281949de8fb9d51	Is there any site where new game makers can post their games and recieve tips ,advice etc on how to make it better?	Is there any site where I can share my thoughts about SEO, blogging etc. and get feedback on it?	0.0
101351	03e877867d0dcfc02cf04b621	Is having a .me domain for a personal website considered professional?	What is the best TLD for a professional personal domain/email address?	0.0
238230	6f7e1cb3f6d6e0345c1bd19ab	Presently (2015) how many articles, parts and schedules are there in the Indian Constitution?	Politics of India: How do you differentiate between an article and a schedule of the Indian Constitution?	0.0
384671	bed588175a49c29a35bdbc0d8	What are biotic and abiotic components?	How do biotic and abiotic factors compare and contrast?	1.0
398765	32d047f2d84e88f19b4ebcd7a	What are some good Indian TV series that you can watch?	Which is the best Indian TV series yet?	1.0
201753	799c74528ff7f5f58404a61bc	How much G-force does a passenger jet exert on the people riding in the plane during takeoff?	How does a jet plane's body withstand the force exerted by braking parachutes?	0.0
225630	3d4e5a8c243cf7b6f2b11fd28	What are your top 10 books of all time?	What are your top 10 favorite reads?	1.0
47800	de7ca6cbe40002574067fb892	What are the best calibers for long range hunting?	What does it take for a sniper to do a successful long range kill (2000 yd+)?	0.0
387058	a660a6177b9ff8cddaff3abdb	How can I prepare for the GATE 2016 in the last six months? Is there any good study to get qualified in CS?	What are strategies to get good score in GATE EE 2016 with two digit rank within 3 months?	1.0
203443	8dfa5fca664be67e62431470e	What shall I do to make my battery last longer?	What makes a cellphone battery last longer?	0.0
89185	8fde5b17fc6453c1044d6fd4e	How can I improve my reading and understanding skills for UPSC?	What's a good way to improve my reading understanding?	0.0
